name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,team
Artis Gilmore,31.8,5.5,8.7,.631,0.0,0.0,.000,5.5,8.6,.635,.631,4.4,6.1,.718,3.3,7.0,10.3,1.1,0.6,2.1,2.3,3.6,15.3,SAS
Mike Glenn,18.6,3.9,6.8,.563,0.0,0.0,.500,3.8,6.8,.563,.564,0.7,0.9,.800,0.2,1.1,1.3,2.1,0.6,0.1,0.8,1.8,8.4,ATL
Mike Gminski,20.2,2.9,5.6,.513,0.0,0.0,.000,2.9,5.6,.516,.513,1.8,2.2,.799,2.0,3.3,5.3,1.1,0.5,0.9,1.5,2.0,7.6,NJN
Stewart Granger,13.2,1.7,4.0,.429,0.1,0.2,.308,1.7,3.8,.437,.438,0.9,1.3,.757,0.1,0.8,1.0,2.4,0.4,0.0,1.0,1.7,4.5,CLE
Rickey Green,34.2,5.4,11.2,.486,0.0,0.2,.118,5.4,11.0,.493,.487,2.4,2.9,.821,0.7,2.1,2.8,9.2,2.7,0.2,2.1,1.9,13.2,UTA
Sidney Green,13.6,2.0,4.7,.439,0.0,0.0,,2.0,4.7,.439,.439,1.1,1.6,.714,1.2,2.4,3.6,0.5,0.4,0.3,1.2,2.6,5.2,CHI
Dave Greenwood,34.8,4.7,9.7,.490,0.0,0.0,.000,4.7,9.6,.491,.490,2.7,3.7,.737,2.7,7.3,10.1,1.8,0.9,0.9,1.9,3.4,12.2,CHI
Kevin Grevey,14.4,2.8,6.2,.451,0.2,0.8,.283,2.5,5.3,.477,.470,1.2,1.3,.893,0.5,0.8,1.3,1.2,0.4,0.1,0.7,1.5,7.0,MIL
Darrell Griffith,32.3,8.5,17.4,.490,1.1,3.1,.361,7.4,14.3,.518,.522,1.8,2.6,.696,1.2,3.0,4.1,3.5,1.4,0.3,3.0,2.5,20.0,UTA
Ernie Grunfeld,14.7,2.2,4.8,.459,0.0,0.1,.222,2.2,4.6,.465,.461,0.8,1.1,.771,0.3,1.3,1.6,1.4,0.6,0.1,0.9,2.0,5.2,NYK
Bob Hansen,7.6,1.2,2.6,.448,0.0,0.1,.000,1.2,2.5,.474,.448,0.3,0.5,.643,0.2,0.6,0.9,0.8,0.3,0.1,0.6,1.1,2.7,UTA
Bill Hanzlik,18.4,1.7,3.8,.431,0.0,0.2,.250,1.6,3.7,.439,.436,2.1,2.6,.807,0.8,1.7,2.6,3.2,0.9,0.2,1.4,3.2,5.4,DEN
Derek Harper,20.9,2.4,5.5,.443,0.0,0.3,.115,2.4,5.2,.464,.447,0.8,1.2,.673,0.6,1.5,2.1,2.9,1.2,0.3,1.4,1.7,5.7,DAL
Scott Hastings,16.7,1.6,3.5,.468,0.0,0.1,.250,1.6,3.4,.472,.470,1.2,1.5,.788,1.4,2.6,4.0,0.7,0.6,0.5,1.0,3.2,4.5,ATL
Steve Hawes,14.6,1.4,3.0,.481,0.0,0.1,.250,1.4,2.9,.485,.483,0.8,1.0,.782,0.6,2.2,2.8,1.3,0.3,0.2,0.7,1.8,3.7,SEA
Elvin Hayes,12.3,2.0,4.8,.406,0.0,0.0,.000,2.0,4.8,.408,.406,1.1,1.6,.652,1.1,2.1,3.2,0.9,0.2,0.3,1.0,1.5,5.0,HOU
Steve Hayes,5.9,0.6,1.2,.520,0.0,0.0,,0.6,1.2,.520,.520,0.1,0.3,.357,0.4,1.0,1.4,0.3,0.1,0.4,0.3,1.2,1.3,SEA
Gerald Henderson,26.8,4.8,9.2,.524,0.3,0.7,.351,4.6,8.5,.539,.538,1.7,2.3,.768,0.9,1.0,1.9,3.8,1.5,0.2,2.1,2.7,11.6,BOS
Rod Higgins,20.2,2.5,5.5,.447,0.0,0.3,.045,2.5,5.3,.468,.448,1.4,2.0,.724,1.1,1.5,2.6,1.5,0.6,0.4,1.0,2.1,6.4,CHI
Johnny High,17.7,0.6,1.8,.346,0.0,0.1,.000,0.6,1.7,.360,.346,0.3,1.0,.345,0.6,1.7,2.3,1.8,1.4,0.4,1.3,2.9,1.6,PHO
Armond Hill,12.1,0.9,3.1,.304,0.0,0.0,,0.9,3.1,.304,.304,1.1,1.4,.810,0.1,0.5,0.7,2.3,0.5,0.0,0.9,2.0,3.0,ATL
Roy Hinson,23.2,2.3,4.6,.496,0.0,0.0,,2.3,4.6,.496,.496,0.9,1.5,.590,2.2,4.1,6.2,0.9,0.4,1.8,1.4,3.8,5.5,CLE
Craig Hodges,20.7,3.4,7.5,.450,0.1,0.6,.217,3.3,6.9,.471,.459,0.9,1.2,.750,0.3,0.8,1.1,1.5,0.8,0.0,1.1,2.2,7.8,SDC
Lionel Hollins,6.8,0.8,2.0,.381,0.0,0.1,.000,0.8,1.9,.393,.381,0.3,0.4,.846,0.1,0.6,0.7,1.9,0.4,0.0,0.8,0.8,1.8,DET
Phil Hubbard,22.5,4.0,7.9,.511,0.0,0.0,.000,4.0,7.8,.512,.511,2.8,3.7,.739,2.2,2.6,4.8,1.1,0.9,0.1,1.4,3.1,10.8,CLE
Geoff Huston,26.5,4.5,9.1,.498,0.0,0.1,.182,4.5,8.9,.503,.499,1.4,2.0,.714,0.4,0.8,1.2,5.4,0.5,0.0,1.9,1.6,10.5,CLE
Marc Iavaroni,19.6,1.9,4.1,.463,0.0,0.0,.000,1.9,4.1,.466,.463,1.2,1.7,.740,1.2,2.8,4.0,1.2,0.5,0.7,1.6,2.8,5.1,PHI
Dan Issel,27.3,7.5,15.2,.493,0.1,0.3,.211,7.4,14.9,.498,.495,4.8,5.6,.850,1.5,5.3,6.8,2.3,0.8,0.6,1.6,2.4,19.8,DEN
Tracy Jackson,5.0,0.5,2.0,.250,0.0,0.0,,0.5,2.0,.250,.250,2.0,2.0,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.5,3.0,IND
Clay Johnson,7.0,0.8,2.0,.400,0.0,0.0,1.000,0.8,2.0,.388,.410,0.6,0.9,.636,0.2,0.2,0.5,0.6,0.3,0.1,0.5,1.0,2.2,SEA
Clemon Johnson,21.5,2.4,5.2,.468,0.0,0.0,,2.4,5.2,.468,.468,0.9,1.4,.611,1.6,3.3,5.0,0.7,0.4,0.8,1.2,2.6,5.7,PHI
Dennis Johnson,33.3,4.8,11.0,.437,0.1,0.4,.125,4.8,10.6,.449,.440,3.5,4.1,.852,1.1,2.4,3.5,4.2,1.2,0.7,2.2,3.1,13.2,BOS
Eddie Johnson,28.3,5.3,11.9,.442,0.2,0.6,.372,5.0,11.3,.446,.452,2.4,3.2,.770,0.5,1.7,2.2,5.6,0.9,0.1,2.6,2.3,13.2,ATL
Eddie Johnson,35.6,9.2,18.9,.485,0.2,0.8,.313,8.9,18.1,.493,.492,3.3,4.0,.810,2.0,3.5,5.5,3.6,0.9,0.3,2.6,3.2,21.9,KCK
Frank Johnson,32.8,4.8,10.2,.467,0.1,0.5,.256,4.6,9.7,.478,.473,2.3,3.1,.742,0.7,1.5,2.2,6.9,1.2,0.1,2.3,2.1,12.0,WSB
George Johnson,25.6,5.1,10.9,.465,0.1,0.6,.234,4.9,10.3,.478,.471,2.8,3.3,.826,1.7,4.0,5.7,2.4,1.0,0.6,2.3,3.2,13.0,IND
