,name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg
221,Sundiata Gaines,8.1,0.9,2.8,.318,0.3,0.8,.333,0.6,2.0,.313,.364,0.6,1.3,.500,0.1,0.6,0.8,0.8,0.4,0.0,0.8,0.5,2.6
222,Sundiata Gaines,15.0,2.5,5.8,.429,0.5,2.5,.200,2.0,3.3,.600,.471,0.3,1.0,.333,0.3,1.0,1.3,1.8,0.7,0.2,1.3,1.7,5.8
223,Sundiata Gaines,14.6,2.0,4.8,.417,0.4,1.7,.235,1.6,3.1,.516,.458,1.1,2.0,.550,1.0,1.4,2.4,2.5,0.9,0.0,1.3,1.1,5.5
224,Danilo Gallinari,33.9,4.3,10.3,.414,1.7,4.7,.352,2.6,5.6,.467,.495,5.4,6.3,.862,1.0,4.0,4.9,1.7,0.8,0.4,1.3,2.3,15.6
225,Danilo Gallinari,34.8,4.4,10.6,.415,1.7,5.0,.347,2.7,5.6,.474,.496,5.4,6.0,.893,1.0,3.8,4.8,1.7,0.8,0.4,1.2,2.4,15.9
226,Danilo Gallinari,30.9,3.9,9.4,.412,1.4,3.9,.370,2.4,5.5,.442,.489,5.6,7.2,.772,0.8,4.6,5.4,1.6,0.9,0.6,1.8,1.9,14.7
227,Francisco García,23.9,3.6,8.2,.436,1.4,3.9,.362,2.2,4.3,.502,.521,1.1,1.3,.855,0.4,1.9,2.3,1.2,0.9,0.8,0.8,2.2,9.7
228,Kevin Garnett,31.3,6.1,11.6,.528,0.0,0.1,.200,6.1,11.5,.530,.529,2.6,3.1,.862,1.2,7.7,8.9,2.4,1.3,0.8,1.6,2.1,14.9
229,Marc Gasol,31.9,4.5,8.5,.527,0.0,0.1,.429,4.5,8.4,.528,.529,2.7,3.6,.748,1.9,5.1,7.0,2.5,0.9,1.7,1.8,3.3,11.7
230,Pau Gasol,37.0,7.2,13.7,.529,0.0,0.0,.333,7.2,13.6,.530,.530,4.3,5.2,.823,3.3,6.9,10.2,3.3,0.6,1.6,1.7,2.5,18.8
231,Rudy Gay,39.9,7.6,16.1,.471,1.1,2.7,.396,6.5,13.4,.486,.503,3.6,4.5,.805,1.5,4.7,6.2,2.8,1.7,1.1,2.5,2.4,19.8
232,Alonzo Gee,20.0,2.2,4.7,.458,0.3,0.9,.333,1.9,3.8,.488,.491,1.3,1.6,.783,1.1,2.1,3.3,0.7,0.7,0.3,1.0,1.7,5.9
233,Alonzo Gee,3.6,0.2,0.6,.333,0.0,0.0,,0.2,0.6,.333,.333,0.0,0.0,,0.4,0.2,0.6,0.0,0.0,0.4,0.6,0.6,0.4
